governorate;name_en;name_ar;address_en;address_ar;lat;lon;rating;user_ratings_total;phone;website;types;opening_hours;slug;fajr_iqama;dhuhr_iqama;asr_iqama;maghrib_iqama;isha_iqama;image1;address_mawaqit;city;zipcode;jumuah_times
Tunis;Kasbah Mosque;جامع القصبة;2 Rue du 2 Mars 1934, Tunis 1000, Tunisia;2 Rue du 2 Mars 1934, Tunis 1000، تونس;36.7965854;10.1676911;4.6;111.0;+216 71 566 962;;establishment, mosque, place_of_worship, point_of_interest, tourist_attraction;;jamii-lqasba-tunis-1008-tunisia;20;10;10;8;10;https://cdn.mawaqit.net/images/backend/mosque/52171941-63a8-42dd-8ff3-c9e11863667a/mosque/1ef60893-3851-6d04-bcdf-0e4a41cdad45.jpg;شارع باب منارة;تونس;1008;13:00
Tunis;Qods Mosque;جامع القدس .;R59H+WMF, Rue de Jerusalem, Jeanne d'Arc, Tunisia;R59H+WMF, Rue de Jerusalem, Jeanne d'Arc, تونس;36.8198031;10.1791653;4.7;82.0;;;establishment, mosque, place_of_worship, point_of_interest, tourist_attraction;;jamii-lqods-lbelveder-tunis-1002-tunisia;30;13:00;10;10;10;https://cdn.mawaqit.net/images/backend/mosque/3d52051d-c28f-4825-ab3a-9279cc0cb00a/mosque/1ef54379-a160-6a1e-a32a-0600dbafaeef.jpg;نهج القدس;تونس;1002;12:35
Tunis;Ain Zaghouan Mosque;جامع الإخلاص عين زغوان;V72M+RG9 Mosquée Ain Zaghouan, Avenue Habib Bourguiba, Tunis, Tunisia;V72M+RG9 Mosquée Ain Zaghouan, Avenue Habib Bourguiba, Tunis, تونس;36.8560833;10.2821101;4.7;94.0;+216 55 248 489;;establishment, mosque, place_of_worship, point_of_interest;Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours;jamii-lkhlass-ain-zaghouan-tunis-2045-tunisia;20;0;10;10;10;https://cdn.mawaqit.net/images/backend/mosque/a8c77256-3439-47ca-a153-ad7be485987e/mosque/1efcb6f7-5325-6b08-9ca6-06bada7b305f.jpg;عين زغوان;تونس;2045;15:00
Tunis;Bilal Mosque;جامع بلال;Mosqué Bilel, Tunis, Tunisia;Mosqué Bilel, Tunis, تونس;36.7698971;10.1863033;4.5;40.0;;;establishment, mosque, place_of_worship, point_of_interest;;bilel-jm-bll-blwrdy-tunis-1009-tunisia;25;12:40;10;10;10;https://cdn.mawaqit.net/images/backend/mosque/51d0e86f-5142-44ce-bd55-0c0a29566878/mosque/1eea8eb1-1d40-6dec-908d-066ed47a7584.jpg;Rue Herthoma Ibn Aayon;TUNIS;1009;13:00
Tunis;Ibrahim Al Khalil Mosque;جامع إبراهيم الخليل;R4PR+X2G, Tunis, Tunisia;R4PR+X2G، تونس، تونس;36.8374462;10.1400676;4.8;56.0;;;establishment, mosque, place_of_worship, point_of_interest;;jm-brhym-lkhlyl-tunis-2092-tunisia;30;13:00;10;10;10;https://cdn.mawaqit.net/images/backend/mosque/62b30978-acbc-4c14-95c5-711089d60a02/mosque/1efca0a8-0a58-6606-948c-0e61b0058d45.jpg;rue habiba Hssouna;TUNIS;2092;13:00
Tunis;Sidi Mansour Mosque;جامع منصور;Q5QG+X7G, Rue Sidi Mansour, Tunis, Tunisia;Q5QG+X7G, Rue Sidi Mansour, Tunis, تونس;36.7899402;10.1756913;4.1;8.0;+216 52 440 813;;establishment, mosque, place_of_worship, point_of_interest, tourist_attraction;;jamii-sidi-mansour-tunis-1008-tunisia;30;13:00;10;10;10;https://cdn.mawaqit.net/images/backend/mosque/cafb4d67-1338-45e9-bfc6-489b9a765e5c/mosque/1eef5968-64a8-6e74-8027-0621eb7171ad.jpg;نهج سيدي منصور  - سيدي البشير;تونس;1008;12:40
Tunis;Ettakwa Mosque - Cité Olympique;جامع التقوى - الحي الأولمبي;R5PV+XP9, Tunis, Tunisia;R5PV+XP9، تونس، تونس;36.8374177;10.1943613;4.5;11.0;;;establishment, mosque, place_of_worship, point_of_interest;;masjid-attakwa-cite-olympique-1003-tunisia;25;12:45;10;7;10;https://cdn.mawaqit.net/images/backend/mosque/e9d7d3ed-83b8-45c8-beef-c185927c450f/mosque/1eea8e59-9805-6652-8f05-066ed47a7584.jpg;Rue Abderrahmen El Ghariani;Cité-Olympique;1003;12:45
Tunis;Al Omran Mosque;جامع;Rue Pass. Tarak, Tunis, Tunisia;Rue Pass. Tarak, Tunis, تونس;36.8181832;10.1669561;4.8;16.0;;;establishment, mosque, place_of_worship, point_of_interest;;jamii-loomran-tunis-1005-tunisia;20;20;10;10;10;https://cdn.mawaqit.net/images/backend/mosque/9fa409db-2a7a-4341-a601-8bf6eb77efc9/mosque/1eea8eca-5182-6e98-9b44-066ed47a7584.jpg;Rue Pass. Tarak, Tunis;تونس;1005;12:45
Tunis;Attawba Mosque;جامع التوبة;R5HV+H35, Av. Louis Braille, Tunis, Tunisia;R5HV+H35، شارع لويس براي، تونس، تونس;36.8288842;10.1927402;4.6;30.0;;;establishment, mosque, place_of_worship, point_of_interest;;masjid-ltawba-cite-el-khadhra-1003-tunisia;30;13:00;10;10;10;https://cdn.mawaqit.net/images/backend/mosque/bdf0ef69-3bed-4fe4-b36c-82c8df6190ab/mosque/1eea8e62-4e8d-6016-8beb-066ed47a7584.jpg;شارع لويس براي;Cité-El-Khadhra;1003;12:45
Tunis;جامع ابن الجزّار;جامع ابن الجزّار;R4F9+9G6, Tunis, Tunisia;R4F9+9G6، تونس، تونس;36.8234124;10.1187534;4.4;21.0;;;establishment, mosque, place_of_worship, point_of_interest;;jamii-bn-ljazar-bardo-2009-tunisia;35;15;10;10;10;https://cdn.mawaqit.net/images/backend/mosque/ba62b22d-6a43-42d9-a778-f344521fff24/mosque/1eec8d81-5de6-6e70-98dd-0ede686d7942.jpg;قصر سعيد 2;BARDO;2009;13:30
