governorate;name_en;name_ar;address_en;address_ar;lat;lon;rating;user_ratings_total;phone;website;types;opening_hours;slug;fajr_iqama;dhuhr_iqama;asr_iqama;maghrib_iqama;isha_iqama;image1;address_mawaqit;city;zipcode;jumuah_times
Ariana;Rehab Mosque;جامع الرحاب;V5MJ+2CW, Ariana, Tunisia;V5MJ+2CW، أريانة، تونس;36.8826115;10.1810681;4.9;26.0;;;establishment, mosque, place_of_worship, point_of_interest;Monday: 3:00 AM – 11:00 PM, Tuesday: 3:00 AM – 11:00 PM, Wednesday: 3:00 AM – 11:00 PM, Thursday: 3:00 AM – 11:00 PM, Friday: 3:00 AM – 11:00 PM, Saturday: 3:00 AM – 11:00 PM, Sunday: 3:00 AM – 11:00 PM;jamii-lrihab-aryana-2083-tunisia;32;25;12;10;12;https://cdn.mawaqit.net/images/backend/mosque/e2cb7e1c-f7df-49f0-aad4-779eaeaa508b/mosque/1eee69a1-8261-6cac-affb-0a0c9324ab13.jpg;إقامة ديار الرّحاب;أريانة;2083;12:45
Ben Arous;Mosque Umar Ibn-Al-Khattab;جامع عمر بن الخطاب;Q54M+Q7C, Cité Avicenne, Tunisia;Q54M+Q7C، حي إبن سينا، تونس;36.7569477;10.1831429;4.4;25.0;;https://www.facebook.com/jemaa.ibn.Sina;establishment, mosque, place_of_worship, point_of_interest;;jamii-omar-bn-lkhatab-tunis-2066-tunisia-1;30;13:00;10;10;10;https://cdn.mawaqit.net/images/backend/mosque/b7919fa7-a73c-462f-ac55-b5c8511345cc/mosque/1ef460a1-6651-640c-b0bf-0600dbafaeef.jpg;Q54M+Q7C, Cité Avicenne, Tunisia;تونس;2066;13:00
Ben Arous;Mosquée Al rahmen مسجد الرحمان;مسجد الرحمان;4 Rue Essourour, Megrine, Tunisia;4 Rue Essourour, Megrine, تونس;36.7575017;10.2464438;4.0;1.0;;;establishment, mosque, place_of_worship, point_of_interest;;unmsjd-lrhmn-ben-arous-2040-tunisia;30;12:50;10;10;10;https://cdn.mawaqit.net/images/backend/mosque/db69c2cb-8e1c-4d64-9481-098391e672b8/mosque/1f01dff7-21d7-6ac8-83b3-06bdda781935.jpg;نهج السرور حي الهناء مقرين 20;بن عروس;2040;12:40
Manouba;Mosquée Essaida;جامع السيدة;R35P+H8C, Manouba, Tunisia;R35P+H8C، منوبة، تونس;36.8089486;10.085751;4.5;11.0;;;establishment, mosque, place_of_worship, point_of_interest;Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours;mosquee-essaida-manouba-la-manouba-2010-tunisia;30;13:00;10;10;10;https://cdn.mawaqit.net/images/backend/mosque/f1615f1c-89b2-4975-bdea-69051b4a95e0/mosque/1eea8e94-7fd6-6b4a-a5de-066ed47a7584.jpg;ruelle el jemaa, bathaa el moknine, 2010 manouba Tunisie;LA MANOUBA;2010;13:00
Manouba;Mosquée Alharamain جامع الحرمين;جامع الحرمين;R3HP+GRJ, Manouba, Tunisia;R3HP+GRJ، منوبة، تونس;36.8288464;10.0870216;4.4;14.0;;;establishment, mosque, place_of_worship, point_of_interest;;jm-lhrmyn-dwr-hyshr-2086-tunisia;30;13:00;10;10;10;https://cdn.mawaqit.net/images/backend/mosque/656c486c-5a30-486f-a875-37ad107d1e1a/mosque/1f090a7f-7f90-658e-b7ff-0eebcd1979e1.jpg;دوار هيشر - منوبة;دوار هيشر;2086;13:00
Manouba;Mosquée Imam Malik;جامع الإمام مالك;Q3XR+J3F, Manouba, Tunisia;Q3XR+J3F، منوبة، تونس;36.7990571;10.0901825;4.9;7.0;+216 58 016 028;;establishment, mosque, place_of_worship, point_of_interest;;masjid-lmam-malik-tunis-2087-tunisia;30;13:00;10;10;10;https://cdn.mawaqit.net/images/backend/mosque/5925b105-aa70-416a-808f-39009f270f83/mosque/1eef4349-75ed-682c-8473-0aca010661ff.jpeg;نهج زياد بن لبيد حي بن يونس;الحرايرية تونس;2087;13:00
Manouba;El Hamd Mosque - جامع الحمد;جامع الحمد;Q3MM+P27، - ديار بن محمود - العقبة - الدندان, Tunis 2087, Tunisia;Q3MM+P27، - ديار بن محمود - العقبة - الدندان, Tunis 2087، تونس;36.7842875;10.0825469;4.3;19.0;;;establishment, mosque, place_of_worship, point_of_interest;Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours;jamii-lhamd-tunis-2051-tunisia;30;15;10;10;10;https://cdn.mawaqit.net/images/backend/mosque/00132c75-d440-4b6f-8608-c49ba848d31a/mosque/1eea8ee7-b7b5-6022-8c85-066ed47a7584.jpg;العقبة العليا-الحرايرية;تونس;2051;13:00
Manouba;Mosquée Beni Hachem جامع بني هاشم;جامع بني هاشم;R3FW+Q95, شارع الشهداء, Tunisia;R3FW+Q95, شارع الشهداء, تونس;36.8243868;10.0959706;;;;;establishment, mosque, place_of_worship, point_of_interest;;jamii-bni-hachim-manouba-2086-tunisia;30;13:00;10;10;10;https://cdn.mawaqit.net/images/backend/mosque/e7163108-4603-469b-8f29-f1d47a9dfb95/mosque/1eed03bd-de62-6588-a2ac-0ede686d7942.jpg;شارع الشهداء، دوار هيشر;منوبة;2086;13:00
Nabeul;جامع بلال;جامع بلال;FP2P+G77 النخلة, Nabeul, Tunisia;FP2P+G77 النخلة, Nabeul, تونس;36.4512893;10.7356634;;;;;establishment, mosque, place_of_worship, point_of_interest;;jm-ltwb-nbl-8000-tunisia;30;0;10;7;10;https://cdn.mawaqit.net/images/backend/mosque/0f41ba35-de03-433f-beb4-ecc6f7fc2735/mosque/1f0487aa-2400-6752-9a0c-0e5961e1fdbb.jpg;نهج الطيب ميلاد;نابل;8000;12:45
Nabeul;Al Ghofran mosque;مسجد الغفران;FPFV+7WC, Rte Périph. Nabeul - Hammamet, Dar Chaabane Al Fehri, Tunisia;FPFV+7WC، الطريق الحزامية نابل - الحمامات، دار شعبان الفهري، تونس;36.4730447;10.7454168;5.0;3.0;;;establishment, mosque, place_of_worship, point_of_interest;;jm-lgfrn-dar-chaabane-al-fehri-8011-tunisia;20;12:50;10;8;10;https://cdn.mawaqit.net/images/backend/mosque/3b3235c8-2ad4-4400-9266-9f9663e21616/mosque/1f046ef8-c508-6e8a-8ca5-0adbf06e429f.jpg;دار شعبان الفهري، Tunisie;DAR CHAABANE AL FEHRI;8011;13:00
